"","Key Skills","Count"
11,"Английский язык",40
12,"Работа в команде",37
14,"Пользователь ПК",27
36,"HTML",25
31,"Грамотная речь",24
23,"SEO",23
29,"Adobe Photoshop",22
19,"Грамотность",20
174,"Ведение переговоров",19
5,"SEO оптимизация",19
53,"Креативность",18
163,"Активные продажи",17
85,"Git",17
13,"Наполнение контентом",16
24,"SEO-копирайтинг",16
192,"PHP",15
161,"CSS",15
111,"Деловая переписка",14
189,"JavaScript",14
1,"Интернет-реклама",14
33,"CMS Wordpress",13
150,"Деловое общение",13
34,"Управление интернет-проектами",13
162,"HTML5",12
188,"MySQL",12
154,"Google Analytics",12
80,"Составление семантического ядра",12
35,"Google Docs",12
109,"CRM",11
15,"Поиск информации в интернет",10
89,"ООП",10
38,"Работа с большим объемом информации",9
76,"Разработка технических заданий",9
0,"Контекстная реклама",9
51,"SMM",9
64,"Клиентоориентированность",9
153,"Яндекс.Метрика",9
42,"Social Media Marketing",9
166,"Холодные продажи",8
167,"Заключение договоров",8
178,"Навыки продаж",8
79,"Поисковая оптимизация сайтов",8
222,"Управление продажами",8
289,"Управление проектами",8
110,"Консультирование",8
26,"Продвижение сайтов",8
25,"Копирайтинг",8
209,"Деловая коммуникация",7
2,"Internet Marketing",7
95,"Письменный перевод",7
112,"Консультирование клиентов",7
160,"jQuery",7
88,"Java",7
164,"Поиск и привлечение клиентов",7
259,"CSS3",6
28,"Администрирование сайтов",6
94,"Социальные сети",6
68,"Немецкий язык",6
180,"Прямые продажи",6
179,"Развитие продаж",6
156,"Веб-аналитика",6
176,"B2B Продажи",6
170,"Маркетинговый анализ",5
81,"Аудит поисковой видимости сайта",5
97,"Устный перевод",5
63,"Обучение и развитие",5
50,"Ведение групп в социальных сетях",5
292,"Node.js",5
203,"Проведение презентаций",5
201,"Организаторские навыки",5
47,"Internet",5
48,"Многозадачность",5
317,"Atlassian Jira",5
351,"Обучение персонала",5
362,"REST",5
30,"Написание статей",5
313,"Управленческая отчетность",4
261,"План продвижения",4
310,"Руководство коллективом",4
308,"Scrum",4
376,"Внутренняя оптимизация сайта",4
108,"Битрикс24",4
130,"Коммуникабельность",4
288,"Agile Project Management",4
218,"Создание сайтов",4
258,"Управление персоналом",4
220,"B2C продажи",4
175,"Навыки презентации",4
212,"Unity",4
202,"Подработка",4
200,"MS Dos",4
106,"1С-Битрикс",4
195,"PHP5",4
190,"PostgreSQL",4
171,"Google AdWords",4
185,"Time management",4
177,"Digital Marketing",4
199,"Поисковые системы",4
477,"Синхронный перевод",4
3,"Управление отношениями с клиентами",4
8,"Лидогенерация",4
84,"Создание систем перелинковок",4
27,"Интернет маркетинг",4
72,"Customer Service",4
70,"Ориентация на результат",4
93,"Продвижение в социальных группах",4
82,"Внешняя оптимизация сайта",4
386,"Pascal",3
155,"Самостоятельное построение ссылочной структуры",3
142,"Техническое обслуживание",3
257,"работа с биржами",3
249,"Windows 7",3
450,"Linux",3
151,"MS Outlook",3
137,"Написание текстов",3
20,"Google Chrome",3
83,"внутренний аудит сайта",3
388,"C#",3
216,"Ремонт ПК",3
233,"Joomla CMS",3
377,"Автоматизация процессов",3
32,"Администрирование",3
37,"Обработка изображений",3
39,"CorelDRAW",3
69,"Телефонные переговоры",3
66,"Умение работать в коллективе",3
65,"Навыки межличностного общения",3
62,"Customer Support",3
206,"Magento",3
52,"Французский язык",3
191,"Unit Testing",3
224,"Product Management",3
255,"Поисковая оптимизация мобильной версии сайта",3
330,"Продвижение бренда",3
114,"Работа с возражениями",3
375,"Планы статей",3
309,"руководство командой разработчиков",3
314,"Планирование",3
315,"Подготовка отчетов",3
287,"Adobe Illustrator",3
121,"Корректура текстов",3
311,"Управление редакцией",3
10,"внешний аудит сайта",3
291,"Постановка задач разработчикам",3
357,"UX",3
270,"Художник",2
213,"Тайм-менеджмент",2
215,"ремонт телефонов",2
312,"Управление продуктом",2
414,"typescript",2
348,"React.js",2
211,"Тестирование пользовательского интерфейса",2
7,"Управление бюджетом",2
210,"Онлайн исследования",2
208,"Zendesk",2
207,"Shopify",2
343,"Формирование технического задания для разработки",2
418,"Symfony",2
49,"Cоциальный маркетинг",2
196,"Yii",2
324,"Управление командой",2
426,"MS SQL",2
427,"SOAP",2
413,"API",2
307,"Ремонтные работы",2
412,"redux",2
271,"Game Art",2
379,"React",2
273,"Mobile Game",2
371,"Adobe After Effect",2
21,"Самодисциплина",2
22,"Усидчивость",2
17,"Работа с электронными словарями",2
256,"Работа с SEO провайдерами",2
430,"Figma",2
16,"Электронные словари",2
251,"Мобильность",2
360,"Spring Framework",2
391,"Ajax",2
392,"PHP7",2
294,"AngularJS",2
359,"SQL",2
358,"E-Mail Marketing",2
302,"телефонные продажи",2
401,"Mac Os",2
402,"Turbo Pascal",2
6,"Email маркетинг",2
226,"MS Access",2
429,"Analytical skills",2
18,"Высокая скорость печати",2
57,"Оперативный поиск информации в сети Интернет",2
139,"Диагностика",2
141,"Настройка сетевых подключений",2
172,"Планирование рекламных кампаний",2
169,"Маркетинговые коммуникации",2
144,"Администрирование сетевого оборудования",2
168,"Медиапланирование",2
165,"Работа с дебиторской задолженностью",2
75,"Negotiation skills",2
91,"JSON API",2
78,"Сопровождение клиентов",2
446,"Project management",2
124,"Проверка на соответствие ТЗ",2
123,"Тургенев",2
122,"Редактирование",2
120,"Отчетность",2
442,"Стратегическое мышление",2
140,"Настройка ПО",2
143,"Видеомониторинг",2
119,"Базы данных",2
60,"оформление заказов",2
187,"Амазон",2
181,"Умение работать в команде",2
454,"Bootstrap",2
186,"Amazon",2
101,"Электронная почта",2
182,"работа с текущей базой клиентов",2
183,"MS PowerPoint",2
61,"Техническая поддержка",2
461,"Autodesk Maya",1
4,"Таргетинг",1
458,"Unix",1
361,"Apache Maven",1
462,"Spine",1
373,"SmartAnimate",1
374,"Опыт работы",1
367,"Jira",1
460,"java mobile",1
372,"ProtoPie",1
364,"Анализ продаж",1
365,"Sales Skills",1
459,"pixie",1
366,"IT",1
370,"Principle",1
369,"Sketch/Figma",1
368,"Kotlin",1
463,"MotionBuilder",1
363,"Обучение",1
465,"Rigging",1
356,"Разработка инструкций",1
347,"Монтаж оборудования",1
335,"Литературное редактирование",1
336,"Tургенев",1
337,"Журналистика",1
338,"Skype",1
339,"Работа с оргтехникой",1
340,"Офисная техника",1
476,"Strategic Marketing",1
341,"оформление документации",1
342,"Разработка нового продукта",1
475,"Marketing Analysis",1
344,"WEB аналитика",1
345,"SMS маркетинг",1
346,"Схемотехника электронного оборудования",1
474,"Team management",1
473,"Design Patterns",1
355,"Разработка регламентов",1
472,"Redis",1
471,"Тестирование",1
470,"Расстановка приоритетов",1
469,"TMS Systems",1
468,"Проведение тестирований",1
467,"Организационные навыки",1
466,"Test case",1
349,"Redux",1
350,"Express",1
456,"ERP",1
352,"Управленческие навыки",1
464,"Animation",1
353,"Бизнес-анализ",1
354,"Бизнес-консультирование",1
457,"Python",1
451,"Администрирование серверов",1
455,"Laravel",1
453,"MVC",1
406,"Модельное (конструкторское) мышление",1
407,"Способность формулировать мысли в виде визуальных моделей и текста на бумаге",1
408,"Дисциплинированность",1
409,"Владение устной и письменной речью, грамотность, техническая образованность",1
410,"Знакомство с современными подходами к построению автоматизированных систем",1
439,"Apache Tomcat",1
411,"react",1
438,"2D Графика",1
437,"2D Animation",1
436,"Графика",1
333,"Разработка маркетинговой стратегии",1
415,"Docker",1
