"","Key Skills","Count"
1,"Git",14
8,"Английский язык",13
0,"JavaScript",12
218,"Пользователь ПК",12
19,"Python",11
25,"Adobe Photoshop",10
2,"HTML",9
4,"CSS",9
59,"REST",9
94,"Agile Project Management",8
46,"Linux",8
28,"Работа в команде",8
182,"Поиск информации в интернет",8
23,"Software Development",7
42,"Node.js",7
222,"Наполнение контентом",7
198,"Грамотность",6
211,"Грамотная речь",6
5,"PHP",6
9,"MySQL",6
35,"MongoDB",6
34,"C#",6
100,"Scrum",6
44,"AWS",6
183,"Работа с базами данных",5
170,"Работа с большим объемом информации",5
92,".NET Framework",5
48,"Jenkins",4
20,"Django Framework",4
7,"SQL",4
16,"iOS",4
17,"swift",4
18,"Objective-C",4
38,"Управление проектами",4
223,"Прием и распределение телефонных звонков",4
21,"pure data",4
93,"ASP.NET",4
165,"MS PowerPoint",4
22,"firebase",4
145,"Деловая переписка",4
10,"HTML5",4
47,"CI/CD",4
95,"SOA",4
171,"Ориентация на результат",4
3,"jQuery",3
99,"MS SQL",3
226,"Слепая печать",3
98,"Unit Testing",3
231,"Ведение документации",3
53,"Ruby",3
227,"Умение планировать",3
40,"Информационные технологии",3
173,"Google Analytics",3
27,"Анимация",3
160,"Деловая коммуникация",3
101,"NoSQL",2
107,"Web Application Development",2
106,"Bootstrap",2
105,"Multithread Programming",2
104,"Typescript",2
103,"Redux",2
102,"ReactJS",2
181,"MS Office",2
188,"SMM",2
109,"Perl",2
169,"Adobe Illustrator",2
97,".net core",2
172,"Многозадачность",2
175,"Интернет-реклама",2
177,"Internet Marketing",2
189,"Копирайтинг",2
111,"Docker",2
110,"Shell Scripting",2
151,"Консультирование клиентов",2
196,"Написание текстов",2
141,"Организаторские навыки",2
205,"Сбор и анализ информации",2
139,"Управление продажами",2
154,"Ведение переговоров",2
207,"Документооборот",2
159,"Консультирование",2
161,"Работа с людьми",2
120,"Budgeting",2
119,"Risk management",2
118,"Atlassian Jira",2
117,"Team management",2
162,"Умение работать в команде",2
114,"DevOps",2
112,"Kubernetes",2
96,"MVC",2
228,"Проектная документация",2
229,"Согласование договоров",2
241,"Офисная техника",2
260,"Настройка ПК",2
230,"Turbo Pascal",2
261,"Настройка ПО",2
50,"AWS API",2
49,"English",2
45,"Bash",2
66,"React",2
67,"Angular2",2
33,"2D Анимация",2
32,"2D аниматор",2
43,"Terraform",2
31,"VFX",2
26,"Spine",2
232,"Умение работать в коллективе",2
30,"2D Animation",2
29,"2D Animator",2
269,"Администрирование сайтов",2
11,"CSS3",2
197,"Продвижение в социальных сетях",1
263,"1С: Предприятие 8",1
199,"Продвижение сайтов",1
200,"Аналитические способности",1
202,"Поисковые системы",1
201,"Анализ данных",1
262,"1С-Битрикс",1
268,"Тестирование",1
203,"Аналитика",1
204,"Яндекс.Метрика",1
272,"windows 10",1
184,"Ориентация на клиента",1
185,"it сопровождение",1
195,"Креативность",1
186,"Google AdWords",1
194,"Социальные сети",1
193,"Ведение групп в социальных сетях",1
192,"Контекстная реклама",1
191,"SMS маркетинг",1
206,"Административная поддержка руководителя",1
264,"Предметная фотосъемка",1
265,"Графические редакторы",1
266,"Фотомонтаж",1
190,"Лидогенерация",1
267,"Обработка изображений",1
187,"Яндекс.Директ",1
259,"Настройка сетевых подключений",1
208,"Высокая скорость печати",1
258,"Написание рекламных статей",1
225,"Электронная почта",1
248,"Корректура текстов",1
247,"Написание пресс-релизов",1
246,"Проведение опросов клиентов",1
245,"Консультирование клиентов по телефону",1
244,"исходящие звонки",1
243,"входящие звонки",1
242,"оформление документации",1
240,"Компьютерная грамотность",1
239,"Документальное сопровождение",1
238,"CMS Wordpress",1
237,"Написание статей",1
236,"Навыки дизайнера",1
235,"Навыки фотографа",1
234,"Чувство вкуса",1
270,"Ремонт ПК",1
233,"Ведение переписки",1
273,"Администрирование сетевого оборудования",1
249,"Журналистика",1
250,"Литературное редактирование",1
257,"Продвижение в социальных группах",1
224,"Работа с оргтехникой",1
209,"Планирование рабочего дня руководителя",1
210,"Подготовка презентаций",1
256,"Обработка видео",1
212,"исполнение поручений руководителя",1
213,"проведение интервью",1
214,"MS Excel",1
215,"конкурентный анализ",1
216,"личный помощник",1
217,"маркетинг",1
255,"Видеосъемка",1
219,"MS Access",1
220,"Создание сайтов",1
221,"SEO",1
254,"3ds Max",1
253,"3D Моделирование",1
252,"Adobe After Effect",1
251,"Навыки работы с возражениями",1
271,"Windows 7",1
137,"Управление командой",1
180,"Ответственность",1
78,"Android",1
69,"Redux.js",1
70,"TypeScript",1
71,"WebSockets",1
72,"Webpack",1
73,"Jest",1
74,"Karma",1
75,"UI",1
76,"Android SDK",1
77,"JSON API",1
79,"Symfony framework",1
65,"Автоматизированное рабочее место (АРМ)",1
80,"PHP 7",1
81,"SDLC workflow",1
82,"AMQP",1
83,"PHP5",1
84,"ООП",1
85,"PHPUnit",1
86,"pytorch",1
87,"tensorflow",1
88,"computer vision",1
68,"React.js",1
64,"Cистемы управления базами данных",1
179,"Аналитический склад ума",1
41,"Разработка технических заданий",1
6,"aws",1
12,"JS",1
13,"Laravel",1
14,"Teamleading",1
15,"teamlead",1
24,"PowerBI",1
36,"QA",1
37,"Testing Framework",1
39,"Управление персоналом",1
51,"Ruby On Rails",1
63,"Математическое программирование",1
52,"PostgreSQL",1
54,"Redis",1
55,"Event sourcing",1
56,"RSpec",1
57,"XML",1
58,"MS Project",1
60,"руководство командой разработчиков",1
61,"Анализ затрат",1
62,"Управление рисками",1
89,"machine learning",1
90,"deep learning",1
91,"reinforcement learning",1
156,"Телефонные переговоры",1
144,"Оценка персонала",1
146,"Деловое общение",1
147,"Поиск и привлечение клиентов",1
148,"Навыки межличностного общения",1
149,"Администрирование",1
150,"Системное мышление",1
152,"Управление интернет-проектами",1
153,"Управление отношениями с клиентами",1
155,"Навыки переговоров",1
157,"Навыки презентации",1
108,"React Native",1
158,"Клиентоориентированность",1
163,"коммуникабельность, ответственность, умение решать конфликтные ситуации",1
164,"Адаптация",1
166,"Управленческая отчетность",1
167,"Внутренние коммуникации",1
168,"CorelDRAW",1
174,"Составление семантического ядра",1
176,"SEO оптимизация",1
178,"Интернет маркетинг",1
143,"Мотивация персонала",1
142,"Командообразование",1
140,"Обучение и развитие",1
138,"Подбор персонала",1
113,"Microservices",1
115,"microservices",1
116,"Kuternetes",1
121,"Golang",1
122,"API",1
123,"Solidity",1
124,"Blockchain",1
125,"MS SQL Server",1
126,"MS Dynamics CRM",1
127,"Sales Management",1
128,"Business Development",1
129,"cto",1
130,"Start-up project",1
131,"Organization Skills",1
132,"Architecture",1
133,"TCP/IP",1
134,"Networking",1
135,"Openstack",1
136,"NFV",1
274,"MS Outlook",1
