"","Vacancy","Value","Count"
168,"специалист технической поддержки","полная занятость",209
62,"программист 1с","полная занятость",138
426,"системный администратор","полная занятость",123
230,"интернет маркетолог","полная занятость",114
318,"менеджер по продажам","полная занятость",97
1820,"монтажник слаботочных систем","полная занятость",88
408,"менеджер интернет магазина","полная занятость",75
249,"контент менеджер","полная занятость",57
1690,"продавец консультант","полная занятость",55
3145,"промоутер расклейщик объявлений","полная занятость",50
107,"frontend разработчик","полная занятость",46
234,"seo специалист","полная занятость",43
761,"менеджер по работе с клиентами","полная занятость",43
10,"системный аналитик","полная занятость",37
147,"программист 1c","полная занятость",36
3521,"специалист по обработке заказов","полная занятость",34
74,"технический писатель","полная занятость",32
1014,"hr manager","полная занятость",28
2704,"специалист по продажам услуг","полная занятость",26
619,"начинающий специалист","полная занятость",25
9,"ios разработчик","полная занятость",25
143,"специалист по информационной безопасности","полная занятость",25
11,"android разработчик","полная занятость",24
4282,"оператор входящей линии дистанционно","частичная занятость",24
625,"инженер технической поддержки","полная занятость",23
2395,"монтажник связи","полная занятость",22
2702,"региональный менеджер по продажам","полная занятость",21
44,"php разработчик","полная занятость",21
360,"php программист","полная занятость",21
665,"специалист технической поддержки 2 линия","полная занятость",21
2479,"монтажник","полная занятость",20
1016,"hr business partner","полная занятость",20
1336,"мастер по ремонту компьютеров","полная занятость",19
454,"web разработчик","полная занятость",19
503,"web программист","полная занятость",19
128,"senior php developer","полная занятость",19
97,"ведущий программист 1с","полная занятость",17
777,"it директор","полная занятость",17
19,"программист","полная занятость",16
152,"сервисный инженер","полная занятость",16
707,"технический специалист","полная занятость",16
69,"консультант 1с","полная занятость",15
672,"специалист по работе с клиентами","полная занятость",15
59,"бизнес аналитик","полная занятость",15
247,"маркетолог","полная занятость",15
985,"html верстальщик","полная занятость",14
266,"smm менеджер","полная занятость",14
1009,"middle php developer","полная занятость",14
843,"программист php","полная занятость",14
305,"seo оптимизатор","полная занятость",13
27,"fullstack net developer","полная занятость",13
567,"web дизайнер","полная занятость",13
54,"backend разработчик","полная занятость",12
447,"менеджер интернет проекта","полная занятость",12
52,"devops инженер","полная занятость",12
14,"java разработчик","полная занятость",12
1691,"продавец консультант в салон связи","полная занятость",12
35,"devops engineer","полная занятость",12
3522,"специалист по обработке заказов и сбору отзывов","полная занятость",12
488,"верстальщик","полная занятость",11
