"","Vacancy","Value","Count"
2889,"интернет маркетолог","Контекстная реклама",61
4309,"менеджер по продажам","Активные продажи",58
938,"программист 1с","1С программирование",51
24086,"промоутер расклейщик объявлений","Расклейщик",50
24087,"промоутер расклейщик объявлений","Подработка",50
24088,"промоутер расклейщик объявлений","Курьер",50
24085,"промоутер расклейщик объявлений","Промоутер",50
2890,"интернет маркетолог","Интернет-реклама",43
4317,"менеджер по продажам","Холодные продажи",42
5413,"менеджер интернет магазина","Пользователь ПК",41
4312,"менеджер по продажам","Ведение переговоров",38
2922,"интернет маркетолог","Яндекс.Метрика",35
983,"программист 1с","Ответственность",34
2897,"интернет маркетолог","Лидогенерация",34
2943,"интернет маркетолог","Google Analytics",34
2936,"интернет маркетолог","Копирайтинг",33
984,"программист 1с","Клиентоориентированность",33
5444,"менеджер интернет магазина","Грамотная речь",32
5740,"системный администратор","Администрирование сетевого оборудования",32
4305,"менеджер по продажам","Телефонные переговоры",32
1534,"frontend разработчик","JavaScript",32
2891,"интернет маркетолог","Internet Marketing",31
4311,"менеджер по продажам","Поиск и привлечение клиентов",30
4318,"менеджер по продажам","Навыки продаж",29
3409,"контент менеджер","Наполнение контентом",29
4315,"менеджер по продажам","B2B Продажи",29
10704,"hr manager","Обучение и развитие",28
10707,"hr manager","Антикризисное управление",28
10700,"hr manager","Кадровый менеджмент",28
10702,"hr manager","Кадровая политика",28
10696,"hr manager","Project management",28
10701,"hr manager","Грейдинг",28
10705,"hr manager","Оценка персонала",28
10698,"hr manager","Human Resources Management",28
10706,"hr manager","Управление командой",28
3076,"seo специалист","SEO оптимизация",28
10699,"hr manager","CRM",28
10703,"hr manager","Подбор персонала",28
10697,"hr manager","Human Resources Development",28
4308,"менеджер по продажам","Грамотная речь",27
5758,"системный администратор","Администрирование серверов Windows",27
939,"программист 1с","1С: Предприятие 8",27
3391,"контент менеджер","Adobe Photoshop",27
2958,"интернет маркетолог","WEB аналитика",26
2911,"интернет маркетолог","SMM",26
2912,"интернет маркетолог","Яндекс.Директ",25
3090,"seo специалист","SEO",25
16011,"монтажник слаботочных систем","Монтаж инженерных систем",25
4320,"менеджер по продажам","CRM",24
2905,"интернет маркетолог","Google AdWords",24
3400,"контент менеджер","Грамотность",23
957,"программист 1с","1С: Зарплата и управление персоналом",23
15221,"продавец консультант","Активные продажи",23
16009,"монтажник слаботочных систем","Монтаж оборудования",22
4307,"менеджер по продажам","Работа в команде",22
5747,"системный администратор","Windows Server 2003",22
1536,"frontend разработчик","Git",22
2894,"интернет маркетолог","SEO оптимизация",22
3089,"seo специалист","HTML",22
15224,"продавец консультант","Навыки продаж",22
5789,"системный администратор","Active Directory",21
16008,"монтажник слаботочных систем","Системы видеонаблюдения",21
2907,"интернет маркетолог","Интернет маркетинг",21
10729,"hr business partner","Оценка персонала",20
10728,"hr business partner","Обучение и развитие",20
10727,"hr business partner","Подбор персонала",20
941,"программист 1с","1С: Документооборот",20
10726,"hr business partner","Кадровая политика",20
2904,"интернет маркетолог","Маркетинговый анализ",20
4326,"менеджер по продажам","Деловое общение",20
2941,"интернет маркетолог","Ведение групп в социальных сетях",19
1932,"специалист по информационной безопасности","Информационная безопасность",19
10730,"hr business partner","Управление командой",19
10720,"hr business partner","Project management",19
10721,"hr business partner","Human Resources Development",19
10722,"hr business partner","Human Resources Management",19
90,"ios разработчик","iOS",19
10723,"hr business partner","CRM",19
10724,"hr business partner","Кадровый менеджмент",19
10731,"hr business partner","Антикризисное управление",19
4327,"менеджер по продажам","Деловая переписка",19
3398,"контент менеджер","Пользователь ПК",19
4316,"менеджер по продажам","Пользователь ПК",19
3087,"seo специалист","Составление семантического ядра",19
10725,"hr business partner","Грейдинг",19
964,"программист 1с","1С: Бухгалтерия",18
639,"php разработчик","PHP",18
136,"системный аналитик","SQL",18
1782,"senior php developer","PHP",17
4325,"менеджер по продажам","Холодные звонки",17
1541,"frontend разработчик","CSS",17
5410,"менеджер интернет магазина","Деловое общение",17
4339,"менеджер по продажам","Проведение презентаций",17
965,"программист 1с","1С: Управление Торговлей",17
5750,"системный администратор","Windows 7",16
1996,"программист 1c","1С программирование",16
2953,"интернет маркетолог","SEO",16
5785,"системный администратор","DHCP",16
4328,"менеджер по продажам","Заключение договоров",16
3096,"seo специалист","Внешняя оптимизация сайта",15
143,"системный аналитик","Разработка технических заданий",15
2957,"интернет маркетолог","Составление семантического ядра",15
4319,"менеджер по продажам","Прямые продажи",15
5738,"системный администратор","Linux",15
1542,"frontend разработчик","HTML",15
4868,"php программист","MySQL",15
16034,"монтажник слаботочных систем","Пользователь ПК",15
5753,"системный администратор","TCP/IP",15
16027,"монтажник слаботочных систем","Технические системы и средства безопасности",15
1778,"senior php developer","MySQL",15
1777,"senior php developer","Git",15
2942,"интернет маркетолог","Adobe Photoshop",15
5790,"системный администратор","Настройка DNS",14
5807,"системный администратор","Hyper-V",14
5414,"менеджер интернет магазина","Работа в команде",14
7739,"начинающий специалист","Навыки продаж",14
7737,"начинающий специалист","Активные продажи",14
3091,"seo специалист","Google Analytics",14
5453,"менеджер интернет магазина","Телефонные переговоры",14
3092,"seo специалист","CSS",14
16006,"монтажник слаботочных систем","Электрические системы и слаботочные системы",14
15225,"продавец консультант","Обучение и развитие",14
4871,"php программист","JavaScript",14
4329,"менеджер по продажам","Работа с возражениями",14
4873,"php программист","PHP",14
1784,"senior php developer","Nginx",14
4323,"менеджер по продажам","Развитие продаж",13
1547,"frontend разработчик","HTML5",13
21088,"региональный менеджер по продажам","Активные продажи",13
2921,"интернет маркетолог","Креативность",13
16020,"монтажник слаботочных систем","Системы охранно-тревожной сигнализации",13
433,"fullstack net developer","React",13
432,"fullstack net developer","ASP.NET",13
15227,"продавец консультант","Работа в команде",13
3105,"seo специалист","Поисковая оптимизация сайтов",13
3407,"контент менеджер","HTML",13
2007,"программист 1c","1С: Зарплата и управление персоналом",13
10642,"middle php developer","PHP",13
10485,"html верстальщик","CSS3",13
1997,"программист 1c","1С: Предприятие 8",13
10484,"html верстальщик","HTML5",13
15223,"продавец консультант","Деловое общение",13
3414,"контент менеджер","Копирайтинг",12
5739,"системный администратор","Администрирование серверов",12
1551,"frontend разработчик","CSS3",12
6608,"web программист","MySQL",12
10648,"middle php developer","Git",12
1555,"frontend разработчик","AngularJS",12
10638,"middle php developer","MySQL",12
6602,"web программист","CSS",12
5456,"менеджер интернет магазина","Активные продажи",12
5792,"системный администратор","Администрирование серверов Linux",12
19526,"монтажник связи","Производство строительно-монтажных работ",12
3703,"smm менеджер","SMM",12
3086,"seo специалист","Аудит поисковой видимости сайта",12
25690,"customer support officer with english","Английский язык",11
4330,"менеджер по продажам","Ориентация на результат",11
2896,"интернет маркетолог","Управление бюджетом",11
2909,"интернет маркетолог","Веб-аналитика",11
6474,"верстальщик","Adobe Illustrator",11
25689,"customer support officer with english","Консультирование",11
6473,"верстальщик","Adobe Photoshop",11
1783,"senior php developer","Apache",11
5752,"системный администратор","Системы видеонаблюдения",11
9427,"программист php","JavaScript",11
