"","Vacancy","Value","Count"
549,"специалист технической поддержки",28000.0,162
4499,"промоутер расклейщик объявлений",60000.0,50
235,"программист 1с",80000.0,45
2998,"монтажник слаботочных систем",30000.0,32
2016,"hr manager",60000.0,28
5696,"оператор входящей линии дистанционно",20000.0,24
4032,"специалист по продажам услуг",45000.0,24
1483,"специалист технической поддержки 2 линия",28700.0,20
2018,"hr business partner",120000.0,19
886,"менеджер по продажам",30000.0,19
667,"интернет маркетолог",40000.0,19
1113,"системный администратор",50000.0,18
1109,"системный администратор",35000.0,18
1059,"менеджер интернет магазина",40000.0,17
1110,"системный администратор",40000.0,16
3001,"монтажник слаботочных систем",40000.0,14
4908,"специалист по обработке заказов",11000.0,14
232,"программист 1с",60000.0,14
665,"интернет маркетолог",30000.0,13
110,"fullstack net developer",150000.0,13
1056,"менеджер интернет магазина",35000.0,12
2008,"middle php developer",80000.0,12
2391,"мастер по ремонту компьютеров",50000.0,12
237,"программист 1с",100000.0,11
676,"интернет маркетолог",80000.0,11
1054,"менеджер интернет магазина",25000.0,11
4926,"customer support officer with english",40000.0,11
5174,"директор руководитель",70000.0,11
3003,"монтажник слаботочных систем",45000.0,11
1101,"системный администратор",30000.0,11
750,"контент менеджер",30000.0,11
537,"специалист технической поддержки",20000.0,11
894,"менеджер по продажам",50000.0,11
422,"senior php developer",130000.0,11
1055,"менеджер интернет магазина",30000.0,11
889,"менеджер по продажам",35000.0,10
3771,"монтажник",40000.0,10
2190,"leadsenior nodejs backend в анапу",200000.0,10
749,"контент менеджер",25000.0,9
884,"менеджер по продажам",20000.0,9
885,"менеджер по продажам",25000.0,9
746,"контент менеджер",20000.0,9
4914,"специалист по обработке заказов и сбору отзывов",26000.0,9
672,"интернет маркетолог",50000.0,9
1696,"it директор",150000.0,9
5495,"монтажник тт",60000.0,9
671,"интернет маркетолог",45000.0,9
4907,"специалист по обработке заказов",400.0,9
231,"программист 1с",50000.0,9
1112,"системный администратор",45000.0,9
3004,"монтажник слаботочных систем",50000.0,9
5559,"специалист службы поддержкиудаленно",22000.0,8
226,"программист 1с",40000.0,8
663,"интернет маркетолог",20000.0,8
466,"специалист по информационной безопасности",100000.0,8
753,"контент менеджер",40000.0,8
3875,"специалист call центра из дома",19000.0,8
1657,"менеджер по работе с клиентами",280.0,8
1654,"программист 1с зуп",200000.0,8
4731,"оператор домашнего колл центра call центра контактного центра",28000.0,8
1224,"верстальщик",20000.0,8
4911,"специалист по обработке заказов",30000.0,8
691,"seo специалист",30000.0,7
225,"программист 1с",35000.0,7
109,"инженер автоматизированного тестирования",90000.0,7
373,"frontend разработчик",70000.0,7
2840,"продавец консультант",48000.0,7
4758,"support engineer со знанием английского языка",45000.0,7
85,"программист",40000.0,7
1157,"менеджер интернет проекта",70000.0,7
669,"интернет маркетолог",35000.0,7
890,"менеджер по продажам",40000.0,7
1783,"программист php",100000.0,7
3668,"монтажник связи",45000.0,7
692,"seo специалист",40000.0,7
693,"seo специалист",35000.0,7
895,"менеджер по продажам",60000.0,6
1667,"менеджер по работе с клиентами",17000.0,6
3000,"монтажник слаботочных систем",35000.0,6
129,"devops engineer",120000.0,6
229,"программист 1с",30000.0,6
1413,"начинающий специалист",48000.0,6
236,"программист 1с",70000.0,6
2405,"ведущий разработчик с",200000.0,6
340,"java разработчик middlesenior красноярск",80000.0,6
2845,"продавец консультант в салон связи",48000.0,6
2829,"продавец консультант",40000.0,6
42,"системный аналитик",80000.0,6
674,"интернет маркетолог",60000.0,6
4920,"специалист клиентского сервиса со знанием английского языка",40000.0,6
70,"java разработчик",100000.0,6
670,"интернет маркетолог",25000.0,6
1118,"системный администратор",70000.0,6
539,"специалист технической поддержки",25000.0,5
2135,"middlesenior elixir developer remote",180000.0,5
1693,"it директор",1050.0,5
1664,"менеджер по работе с клиентами",35000.0,5
3661,"мобильный сервисный инженер",40000.0,5
1096,"системный администратор",25000.0,5
1974,"html верстальщик",30000.0,5
1976,"html верстальщик",50000.0,5
752,"контент менеджер",35000.0,5
1115,"системный администратор",60000.0,5
1411,"начинающий специалист",50000.0,5
238,"программист 1с",110000.0,5
5355,"инженер асу климат контроль",50000.0,5
274,"технический писатель",40000.0,5
2680,"программист php junior",20000.0,5
322,"net разработчик",90000.0,5
3470,"архитекторпрограммист 1с",120000.0,5
1007,"менеджер по продажам услуг интернет маркетинга",5000.0,5
3532,"ведущий проектировщик интерфейсов",110000.0,5
4937,"windows инженер",80000.0,5
675,"интернет маркетолог",70000.0,5
547,"специалист технической поддержки",40000.0,5
2822,"продавец консультант",25000.0,5
447,"python разработчик",100000.0,5
3375,"системный администратор linux техническая поддержка web приложений",40000.0,5
743,"контент менеджер",15000.0,5
483,"программист 1c",80000.0,5
1053,"менеджер интернет магазина",20000.0,5
1555,"специалист 1с",35000.0,5
3666,"монтажник связи",40000.0,5
3050,"team lead data science",180000.0,5
5677,"веб разработчик php веб программист удаленно",50000.0,5
55,"android разработчик",60000.0,5
43,"системный аналитик",70000.0,5
5301,"инженер программист асу тп pcs7 wincс step7 tia portal г пермь",80000.0,4
854,"инженер по нормативно технической документации пуско наладочных работ",80000.0,4
58,"android разработчик",100000.0,4
2755,"техник в отдел информационных технологий",25000.0,4
281,"технический писатель",90000.0,4
279,"технический писатель",70000.0,4
278,"технический писатель",60000.0,4
898,"менеджер по продажам",100000.0,4
900,"менеджер по продажам",70000.0,4
5533,"технический переводчик",2400.0,4
263,"консультант 1с",60000.0,4
3683,"техник по подключению",25000.0,4
1266,"uxui дизайнер",15000.0,4
1251,"web программист",80000.0,4
1720,"оператор систем видеонаблюдения",15000.0,4
210,"системный администратор linux devops",100000.0,4
1973,"html верстальщик",15000.0,4
2375,"сценарист игр",20000.0,4
4927,"customer support officer with english and german language",55000.0,4
187,"devops инженер",80000.0,4
45,"системный аналитик",120000.0,4
867,"seo оптимизатор",40000.0,4
4694,"продавец",25000.0,4
2694,"программистразработчик 1c",120000.0,4
1663,"менеджер по работе с клиентами",30000.0,4
461,"специалист по информационной безопасности",40000.0,4
2040,"инженер программистmiddle web developer reactredux nodejs",100000.0,4
534,"специалист технической поддержки",15000.0,4
3539,"инженер программист асу тп",60000.0,4
399,"javascript разработчик",50000.0,4
2088,"senior net developer",3500.0,4
1918,"программист cms 1с битрикс bitrix",100000.0,4
2606,"оператор колл центра",30000.0,4
736,"маркетолог",30000.0,4
738,"маркетолог",50000.0,4
370,"frontend разработчик",50000.0,4
365,"frontend разработчик",25000.0,4
4022,"региональный менеджер по продажам",50000.0,4
4644,"начинающий it специалист специалист технической поддержки it компания лемма",24750.0,4
774,"менеджер интернет проектов",60000.0,4
4663,"специалист сервисного центра",38000.0,4
1659,"менеджер по работе с клиентами",20000.0,4
5136,"начальник отдела продаж b2c г саратов",90000.0,4
39,"системный аналитик",50000.0,4
1661,"менеджер по работе с клиентами",25000.0,4
1558,"технический специалист",30000.0,4
1167,"web разработчик",60000.0,4
167,"senior ios developer",3000.0,4
4904,"руководитель 1с консалтинга",60000.0,4
2318,"3d дизайнер моушен дизайнер",180000.0,4
1123,"системный администратор",120000.0,4
3005,"монтажник слаботочных систем",60000.0,4
38,"системный аналитик",30000.0,3
2916,"менеджер по развитию",1300.0,3
5072,"риелтор менеджер по сопровождению сделок в недвижимости",90000.0,3
5240,"ведущий инженер по строительству сетей связи execution coordinator",70000.0,3
150,"тестировщик",60000.0,3
2054,"ведущий менеджер по продажам",90000.0,3
2820,"продавец консультант",20000.0,3
2819,"продавец консультант",19000.0,3
5398,"начинающий специалист консультирование продажи",50000.0,3
658,"интернет маркетолог",1000.0,3
5095,"менеджера по продажам оператор 1с",50000.0,3
1329,"web дизайнер",25000.0,3
1331,"web дизайнер",40000.0,3
316,"ведущий системный администратор",90000.0,3
4695,"продавец",22000.0,3
4059,"системный администратор инженер техподдержки",28000.0,3
442,"программист с",75000.0,3
3665,"монтажник связи",30000.0,3
297,"тестировщик по",31000.0,3
273,"технический писатель",35000.0,3
3940,"инженер отдела защиты информации",35000.0,3
262,"консультант 1с",40000.0,3
160,"php разработчик",50000.0,3
3261,"разработчик серверной части на nodejs",80000.0,3
905,"менеджер по продажам",120000.0,3
3267,"программист js",75000.0,3
276,"технический писатель",50000.0,3
3366,"проектировщик пользовательских интерфейсов uiux",50000.0,3
1495,"специалист по работе с клиентами",20000.0,3
155,"php разработчик",40000.0,3
3143,"веб программист",35000.0,3
282,"технический писатель",80000.0,3
283,"технический писатель",100000.0,3
1091,"smm специалист",30000.0,3
2826,"продавец консультант",28000.0,3
2828,"продавец консультант",35000.0,3
3461,"системный аналитик удаленно",80000.0,3
718,"руководитель интернет магазина",80000.0,3
4021,"региональный менеджер по продажам",40000.0,3
1120,"системный администратор",80000.0,3
2850,"специалист центра поддержки",30000.0,3
2598,"инженер службы технической поддержки",40000.0,3
708,"оператор call центра",25000.0,3
3132,"product owner менеджер продукта управление товарными запасами",250000.0,3
366,"frontend разработчик",30000.0,3
737,"маркетолог",40000.0,3
2066,"senior 1c bitrix developer",200000.0,3
18,"ios разработчик",1500.0,3
375,"frontend разработчик",80000.0,3
376,"frontend разработчик",100000.0,3
378,"frontend разработчик",130000.0,3
379,"frontend разработчик",150000.0,3
1627,"разработчик баз данных",70000.0,3
2090,"full stack software engineer",3000.0,3
703,"seo специалист",100000.0,3
2847,"оператор ввода данных",10000.0,3
1426,"инженер технической поддержки",40000.0,3
701,"seo специалист",70000.0,3
2067,"senior frontend developer remote",180000.0,3
424,"senior php developer",200000.0,3
423,"senior php developer",150000.0,3
131,"devops engineer",150000.0,3
673,"интернет маркетолог",65000.0,3
331,"ведущий программист 1с",80000.0,3
334,"ведущий программист 1с",100000.0,3
1099,"системный администратор",20000.0,3
679,"интернет маркетолог",200000.0,3
796,"product manager",100000.0,3
791,"smm менеджер",50000.0,3
97,"программист разработчик",30000.0,3
1431,"инженер технической поддержки",50000.0,3
2582,"оператор на дому",12000.0,3
700,"seo специалист",60000.0,3
605,"аналитик 1с",60000.0,3
1168,"web разработчик",50000.0,3
1823,"специалист по защите информации",35000.0,3
482,"программист 1c",70000.0,3
1067,"менеджер интернет магазина",80000.0,3
46,"системный аналитик",130000.0,3
1247,"web программист",45000.0,3
1246,"web программист",40000.0,3
484,"программист 1c",80500.0,3
2752,"senior data scientist remote",200000.0,3
1518,"специалист службы технической поддержки",35000.0,3
975,"php программист",30000.0,3
536,"специалист технической поддержки",23000.0,3
979,"php программист",60000.0,3
2004,"frontend разработчик удаленно",80000.0,3
544,"специалист технической поддержки",30000.0,3
1837,"специалист it отдела",100000.0,3
2780,"сотрудник линии консультации 1с удаленная работа",40000.0,3
217,"бизнес аналитик",80000.0,3
551,"специалист технической поддержки",55000.0,3
1227,"верстальщик",80000.0,3
498,"сервисный инженер",20000.0,3
4788,"системный администратор специалист технической поддержки",50000.0,3
1995,"unity developer",80000.0,3
2970,"компьютерный мастер",40000.0,3
4913,"специалист по обработке заказов и сбору отзывов",9700.0,3
1218,"помощник системного администратора",20000.0,3
4825,"инженер группы мониторинга сетей передачи данных",25000.0,3
5564,"технический писатель стажер",10000.0,3
2988,"инженер технической поддержки склада специалист ит",60000.0,3
500,"сервисный инженер",25000.0,3
4925,"customer support officer with english and portuguese languages",50000.0,3
4924,"customer support officer with english and indonesian language",60000.0,3
479,"программист 1c",60000.0,3
3696,"специалист технической поддержкиhelpdesk",50000.0,3
180,"разработчик c",100000.0,3
5013,"агент по недвижимости риэлтор",160000.0,3
4922,"customer support officer with italian and english languages",50000.0,3
241,"программист 1с",120000.0,3
3221,"php laravel developer",120000.0,3
4921,"customer support officer with english and thai languages",60000.0,3
1062,"менеджер интернет магазина",50000.0,3
41,"системный аналитик",60000.0,3
477,"программист 1c",50000.0,3
40,"системный аналитик",40000.0,3
246,"программист 1с",150000.0,3
680,"интернет маркетолог",150000.0,2
86,"программист",50000.0,2
4622,"специалист в сфере телекоммуникаций",25000.0,2
2744,"менеджер по работе с партнерами",60000.0,2
552,"специалист технической поддержки",60000.0,2
1116,"системный администратор",65000.0,2
520,"data engineer",2000.0,2
677,"интернет маркетолог",100000.0,2
681,"интернет маркетолог",250000.0,2
15,"android developer",70000.0,2
5661,"fullstack php yii2 developer fullstack разработчик",120000.0,2
546,"специалист технической поддержки",45000.0,2
2084,"разработчик 1с",100000.0,2
1436,"инженер технической поддержки",200000.0,2
2753,"pre sale инженер",60000.0,2
1420,"вебмастер",80000.0,2
1152,"специалист по интернет маркетингу",30000.0,2
2761,"инженер асу тп",40000.0,2
1424,"инженер технической поддержки",30000.0,2
712,"оператор call центра",29000.0,2
1554,"специалист технической поддержки 1с",40000.0,2
1444,"программист c",80000.0,2
1141,"контент редактор сайта",25000.0,2
1556,"технический специалист",20000.0,2
523,"специалист отдела технической поддержки",30000.0,2
1428,"инженер технической поддержки",35000.0,2
4619,"продавец салона связи",48000.0,2
1429,"инженер технической поддержки",65000.0,2
3830,"выездной инженер технической поддержки",25000.0,2
696,"seo специалист",45000.0,2
67,"ведущий системный аналитик",200000.0,2
1117,"системный администратор",55000.0,2
717,"руководитель интернет магазина",50000.0,2
1504,"python developer",150000.0,2
80,"frontend разработчик angular",100000.0,2
5658,"специалист по материально техническому снабжению",23000.0,2
5274,"инженер проектировщик кипиа",60000.0,2
5263,"техник группы инженерно технического обеспечения",25000.0,2
1515,"специалист службы технической поддержки",20000.0,2
4557,"менеджер по продажам профессионального звукового и трансляционного оборудования",70000.0,2
4540,"специалист по обслуживанию физических лиц",29000.0,2
3454,"ведущий методолог 1с",60000.0,2
726,"помощник seo специалиста",30000.0,2
612,"frontend developer",100000.0,2
1496,"специалист по работе с клиентами",25000.0,2
1497,"специалист по работе с клиентами",27000.0,2
1512,"администратор 1с",50000.0,2
1147,"менеджер по продажам услуг",30000.0,2
3061,"инженер технолог",33000.0,2
2013,"руководитель it проектов",1000.0,2
2022,"маркетолог интернет продвижение",40000.0,2
2711,"инженер проектировщик",30000.0,2
5291,"менеджер по продажам сапр для проектных организаций",60000.0,2
2708,"кабельщик спайщик",17500.0,2
12,"senior android developer",200000.0,2
3059,"php программист backend разработчик",80000.0,2
1501,"специалист по работе с клиентами",40000.0,2
3467,"менеджер по продажам ит",35000.0,2
600,"frontend developer react",100000.0,2
1487,"старший программист 1с",40000.0,2
82,"qa engineer",70000.0,2
3099,"заместитель технического директора",70000.0,2
4080,"руководитель call центра",25000.0,2
1996,"unity developer",250000.0,2
599,"разработчик python",150000.0,2
4063,"телемаркетолог",28000.0,2
1533,"оператор базы данных",25000.0,2
4112,"оператор по работе с входящими звонками",25000.0,2
659,"интернет маркетолог",700.0,2
561,"project manager",80000.0,2
1999,"project manager менеджер проектов",40000.0,2
564,"project manager",100000.0,2
3441,"старший бизнес аналитик сэд",100000.0,2
2053,"ведущий менеджер по продажам",60000.0,2
2045,"графический дизайнер",40000.0,2
1519,"специалист службы технической поддержки",45000.0,2
4075,"специалист офиса продаж",48000.0,2
1517,"специалист службы технической поддержки",30000.0,2
2307,"2d artist 2d художник",35000.0,2
2664,"ведущий инженер программист 1с",80000.0,2
2041,"маркетолог продуктовый",50000.0,2
1150,"тз мейкер seo специалист на удаленку",500.0,2
1474,"контент менеджерредактор сайта",25000.0,2
4568,"менеджер по кроссмаркетинговым проектам в интернет",80000.0,2
724,"помощник seo специалиста",20000.0,2
3808,"менеджер социальных сетей",25000.0,2
727,"помощник seo специалиста",25000.0,2
4831,"инженер слаботочных систем",60000.0,2
1249,"web программист",60000.0,2
3719,"инженер по эксплуатации систем 1спредприятие 8 в г тула",90000.0,2
3908,"специалист по сопровождению информационных систем в банк",50000.0,2
2218,"team leadsenior developer",240000.0,2
5682,"разработчик фронтэнда",200000.0,2
944,"менеджер по работе с маркетплейсами",60000.0,2
1269,"uxui дизайнер",50000.0,2
3697,"инженер технической поддержкиhelpdesk",50000.0,2
2455,"senior qa automation engineer remote",150000.0,2
2462,"специалист службы поддержки support online games",45000.0,2
3689,"программист java senior",200000.0,2
2466,"геймдев продюсер главный гейм дизайнер",170000.0,2
926,"интернет маркетолог digital маркетолог",60000.0,2
3686,"техник по подключению",40000.0,2
920,"таргетолог",70000.0,2
1244,"web программист",35000.0,2
2198,"руководитель отдела продаж",45000.0,2
912,"контент редактор",20000.0,2
2192,"разработчик android",80000.0,2
909,"менеджер по продажам",115000.0,2
21,"ios разработчик",70000.0,2
3669,"монтажник связи",50000.0,2
901,"менеджер по продажам",80000.0,2
2351,"middle unity developer hyper casual",60000.0,2
899,"менеджер по продажам",55000.0,2
3797,"монтажник по подключению волс юридических лиц",50000.0,2
3667,"монтажник связи",35000.0,2
2488,"менеджер по продажам в интернет магазин",25000.0,2
1089,"smm специалист",20000.0,2
3144,"веб программист",30000.0,2
1245,"web программист",30000.0,2
2279,"senior frontend developer",200000.0,2
1295,"веб разработчик",50000.0,2
1013,"интернет маркетолог специалист по контекстной рекламе",25000.0,2
4923,"customer support officer with english and hindi language",45000.0,2
2359,"technical writer",800.0,2
1066,"менеджер интернет магазина",60000.0,2
3774,"монтажник",35000.0,2
3773,"монтажник",45000.0,2
